Gene	t_all	t_sub	t_vis	t_status	t_location	t_interaction
LINC00880	1.528	1.485	0.6768	1.481	0.6767	-0.4953
CCNL1	0.7002	0.3764	0.5552	0.6201	2.646	-0.06222
SHOX2	-0.908	-0.8126	-0.8488	-1.087	-8.14	0.4854
LXN	-0.972	-0.7058	-0.5643	-0.9141	-2.785	0.1874
RARRES1	-0.6649	-0.8566	0.1047	-0.5803	-3.198	0.7445
SCARNA7	-1.035	-0.3077	-1.197	-1.087	1.037	-0.598
BCHE	0.1465	2.408	-0.7058	-0.07767	5.413	-1.283
PDCD10	-0.3083	0.06693	-0.348	-0.1729	-3.597	-0.2656
GOLIM4	-0.638	-0.7857	-0.3427	-0.6964	1.135	0.1276
MECOM	1.492	2.397	-0.1693	1.605	-1.641	-1.98
TERC	1.162	0.4061	1.569	1.383	-2.659	0.7148
LRRC34	0.3062	0.6283	0.1639	0.5311	-3.603	-0.2976
RPL22L1	0.5968	1.27	-0.07927	0.5732	0.316	-0.736
EIF5A2	-0.009144	0.5882	-0.5994	0.07688	-1.723	-0.8402
TNIK	0.7901	0.1884	0.8746	0.7351	1.141	0.4112
PLD1	0.4557	-0.686	0.9225	0.3456	3.307	1.133
TNFSF10	1.813	0.749	1.862	1.769	1.654	0.4935
NCEH1	-0.08936	-0.5654	1.355	0.2278	-7.297	1.183
ZMAT3	-0.625	-1.017	-0.000547	-0.661	0.7961	0.6894
GNB4	0.6613	-0.5728	1.916	0.9538	-3.754	1.728
MRPL47	0.5714	0.5904	0.2907	0.6349	-1.213	-0.2547
LAMP3	0.1146	0.4141	-0.3272	0.04424	1.435	-0.5246
KLHL6	-2.031	-2.134	-0.8619	-2.011	0.1815	0.7496
MAP6D1	-0.9639	-0.5325	-0.8555	-1.018	1.063	-0.344
PARL	-0.5033	0.05523	-0.5967	-0.4306	-1.677	-0.4753
ABCC5	-0.1782	-1.353	0.647	-0.2515	1.421	1.324
ALG3	-0.2775	0.123	-0.3045	-0.1495	-3.175	-0.3029
CLCN2	-1.321	-1.043	-0.742	-1.266	-1.396	0.21
MAGEF1	0.6227	0.967	-0.05901	0.5891	0.5403	-0.7048
MIR548AQ	0.5631	0.7064	-0.002294	0.5093	1.088	-0.5336
RFC4	-0.2673	0.8057	-1.012	-0.1426	-3.029	-1.279
RPL39L	0.203	0.9119	-0.2329	0.3844	-3.17	-0.7678
MASP1	-0.9412	-0.7103	-0.5134	-0.8796	-2.687	0.4295
BCL6	-0.1382	-0.2379	-0.1279	-0.2598	2.282	0.08311
TPRG1-AS1	-1.733	-2.638	0.3821	-1.68	-1.118	2.364
P3H2	0.1272	0.816	-0.8432	0.001473	2.712	-1.175
CLDN1	0.02523	-0.4679	-0.2562	-0.423	9.36	-0.03327
FGF12	-0.2886	-0.1043	-0.2178	-0.2373	-1.02	-0.08931
MB21D2	1.92	2.19	0.7475	1.868	0.9838	-0.719
TMEM44	-0.5917	-0.6684	-0.09787	-0.4985	-3.24	0.3648
LSG1	0.3614	-0.07925	0.7071	0.5063	-2.446	0.5764
PPP1R2	0.575	0.8692	-0.04564	0.541	0.5603	-0.6332
APOD	0.459	0.005661	1.251	0.7382	-3.962	0.6877
SDHAP1	-0.6982	-0.04781	-0.9083	-0.7036	0.2933	-0.598
TFRC	-1.074	-1.752	0.04436	-1.041	-0.3784	1.17
CEP19	0.3567	-0.1863	0.4829	0.2691	2.027	0.4824
NCBP2	-0.7373	-0.9966	0.2131	-0.6666	-1.861	0.9583
DLG1	-0.1058	-0.2678	-0.04768	-0.2372	2.488	0.1838
ARPC4	0.4614	0.4844	0.3446	0.5844	-2.076	-0.08176
TTLL3	0.2393	0.2907	0.2096	0.3594	-2.176	-0.07975
ARPC4-TTLL3	-1.394	-1.184	-0.8683	-1.388	-3.116	-0.02298
TMEM43	-0.3171	0.2502	-0.4545	-0.1464	-5.473	-0.4918
OXNAD1	-0.02536	0.5747	-0.6431	-0.008239	-0.3353	-0.8589
KRBOX1	0.9175	0.9214	0.9887	1.287	-4.038	-0.4338
GASK1A	-1.392	-0.5065	-1.585	-1.412	0.6466	-0.5454
EXOSC7	1.252	0.745	1.23	1.353	-1.567	0.07217
CLEC3B	-0.0104	-0.01465	0.04811	0.02701	-0.7458	0.04461
P4HTM	-2.492	-1.914	-1.548	-2.476	0.328	0.3719
WDR6	-2.362	-1.918	-1.487	-2.386	0.7812	0.1385
RBM6	0.6802	0.4899	0.3501	0.602	2.257	-0.1284
CYB561D2	0.3822	-0.06094	0.5342	0.3109	1.555	0.3839
RAD54L2	-0.4122	0.3429	-0.9316	-0.3164	-2.409	-0.8359
TEX264	0.0575	0.1359	0.1844	0.2252	-3.217	0.0003559
ACY1	-1.004	-0.3666	-0.9945	-0.9976	0.1635	-0.4512
SLMAP	1.205	1.38	0.3095	1.153	2.267	-0.7414
ADAMTS9-AS2	-0.796	-0.3835	-0.705	-0.7643	-0.4461	-0.1405
ST3GAL6	-1.033	-0.4751	-0.8734	-0.9753	-1.316	-0.2676
NXPE3	0.2075	-0.5537	0.8286	0.3044	-1.816	0.9787
NFKBIZ	0.9934	0.9735	0.08182	0.9349	1.372	-0.9184
CD200	-0.1617	-0.3046	-0.1992	-0.3477	3.319	0.04365
UPK1B	-0.5602	0.2965	-1.28	-1.208	7.133	-1.247
ALG1L2	0.8045	1.149	0.3047	1.013	-2.798	-0.6082
SRPRB	0.025	0.07091	0.0208	0.06481	-0.7981	-0.03703
EPHB1	0.866	0.4907	0.6504	0.8235	4.086	0.1276
NCK1	-0.42	0.2611	-0.6019	-0.4253	0.2229	-0.6338
DIPK2A	0.2957	1.028	-0.6093	0.2749	0.3397	-1.168
MFSD1	-1.159	-1.34	-0.1784	-1.116	-0.6443	0.9319
NAALADL2	-0.005956	1.043	-0.8506	0.1275	-2.674	-1.346
KCNMB2	-1.752	-1.711	-1.009	-1.905	1.903	0.459
TPRG1	-0.2942	-0.6093	0.3804	-0.1231	-5.096	0.6965
PIGX	0.991	-0.128	1.178	0.9287	2.247	1.02
IL5RA	0.8329	-0.527	1.07	0.7727	3.551	1.152
SUMF1	-1.219	-1.478	-0.3795	-1.167	-2.18	0.5939
EMC3	-0.2519	0.07221	-0.3964	-0.1553	-2.161	-0.2677
METTL6	0.3833	-0.1795	0.6492	0.4796	-1.734	0.6293
TBC1D5	0.3565	-0.7568	0.9459	0.2623	2.237	1.199
EFHB	1.833	1.909	0.7754	1.794	0.2917	-0.6431
ZNF385D	1.079	1.053	0.7864	1.327	-2.934	-0.3424
CCDC51	-0.6948	-0.5201	-0.3233	-0.6133	-3.016	0.2134
UCN2	-0.7877	-0.6559	-0.3483	-0.7147	-2.314	0.2389
IP6K2	0.9373	1.309	0.2245	0.9685	-0.7537	-0.6499
C3orf62	-0.477	-1.518	0.04739	-0.8574	4.986	0.9777
GMPPB	-0.6537	-0.6782	-0.2736	-0.5748	-2.203	0.1178
PCBP4	-0.488	0.8236	-2.679	-0.4273	-1.283	-1.904
TWF2	0.3243	0.01909	0.6494	0.4445	-2.119	0.3889
LINC00877	0.7345	0.1722	0.6508	0.6589	3.38	0.4525
POPDC2	1.78	1.693	0.9368	1.737	0.4214	-0.2421
COX17	0.1036	0.1786	0.01073	0.1232	-0.4162	-0.1112
TXNRD3	-1.322	-2.752	0.2252	-1.354	-3.925	1.837
RUVBL1	0.5375	1.03	-0.006898	0.6217	-1.514	-0.6597
ISY1	1.375	0.4031	1.492	1.368	-0.2467	0.7378
CNBP	0.8821	0.6847	0.5102	0.8251	1.241	-0.02809
ISY1-RAB43	0.3761	0.1439	0.3495	0.3681	0.05117	0.1668
ACAD11	0.6559	-0.1649	2.147	0.8509	-2.791	1.104
RYK	-1.02	-0.5494	-0.8034	-0.9636	-2.635	-0.1014
PIK3CB	1.328	0.3341	1.758	1.51	-2.266	0.9763
PFN2	2.056	1.322	1.499	2.026	0.007715	0.1094
IFT80	-0.2088	-1.288	0.6987	-0.1613	-0.9377	1.319
TRIM59	-1.773	-0.852	-1.726	-1.816	-3.225	-0.4532
SERPINI2	0.9372	0.1717	1.033	0.9442	-0.3754	0.6907
WDR49	1.419	0.9186	0.9942	1.371	1.988	-0.01494
ETV5	0.9825	1.598	-0.1031	0.934	0.891	-1.145
DGKG	0.3339	0.6924	-0.2621	0.2603	1.597	-0.6667
CRYGS	0.6562	0.5691	0.3028	0.6402	0.1337	-0.2789
TBCCD1	1.107	-0.4916	1.967	1.229	-1.817	1.8
TM4SF19-TCTEX1D2	-0.6064	-1.064	0.268	-0.5966	-8.34	0.9929
TCTEX1D2	-0.495	-0.6719	0.3021	-0.4001	-7.583	0.7496
TM4SF19	-0.7665	-1.064	-0.2242	-0.8655	-8.361	0.5586
ZNF718	0.2588	1.088	-0.5321	0.2863	-0.5988	-1.12
ZNF876P	-0.5622	0.538	-1.905	-0.542	-0.2491	-1.439
PIGG	0.1159	-0.1701	0.2927	0.1584	-0.8599	0.3305
MYL5	-0.2896	0.9001	-1.447	-0.2204	-1.462	-1.607
TACC3	0.05256	0.2638	-0.1773	0.02272	0.5855	-0.3034
NSD2	-0.6023	-0.9072	0.05273	-0.5396	-1.378	0.6444
ADD1	0.2217	-0.452	0.7553	0.2819	-1.184	0.8547
HTT	-1.017	-0.05333	-1.26	-0.9618	-1.165	-0.8381
RGS12	-0.3943	-1.237	1.067	-0.2747	-3.412	1.651
NSG1	-1.65	-1.681	-1.632	-2.322	4.848	-0.2907
STX18-AS1	-0.07098	0.6759	-0.6975	0.004092	-1.522	-0.9723
STK32B	-1.262	0.2326	-2.197	-1.42	2.093	-1.7
LINC01587	-0.5225	-0.9572	-0.01213	-0.5816	1.149	0.5865
WFS1	-0.5512	0.3658	-0.9463	-0.4537	-5.116	-0.9241
MAN2B2	-1.036	-0.6719	-0.6988	-0.9756	-1.639	-0.101
MRFAP1	0.1126	0.7328	-0.2624	0.1097	0.02555	-0.5788
TBC1D14	0.229	0.09223	-0.1059	-0.006886	7.026	-0.1397
HTRA3	-0.8155	-0.699	-0.3659	-0.7956	-5.161	0.4312
TRMT44	-1.963	-1.372	-1.293	-1.91	-1.011	0.1808
LINC01085	0.3972	0.08533	0.4155	0.3613	0.6451	0.2196
CC2D2A	1.208	1.096	0.7979	1.35	-1.972	-0.2444
CD38	0.8045	1.458	-0.0824	0.8873	7.581	-1.06
LAP3	0.389	-0.4991	0.819	0.3374	1.025	0.9363
MED28	-0.7261	-0.9717	-0.6552	-1.101	4.38	0.0565
NCAPG	-0.1098	-0.265	0.8223	0.09664	-4.651	0.5759
MIR218-1	-0.3883	1.166	-1.654	-0.4261	0.8005	-1.988
PACRGL	-0.04435	0.2752	-0.303	-0.04681	0.06186	-0.4074
ZCCHC4	-0.05851	0.9232	-0.5886	0.1224	-3.803	-1.045
SMIM20	-0.1446	-0.7549	0.4885	-0.1563	0.2714	0.8806
TBC1D19	-0.8431	-0.3015	-0.7127	-0.775	-1.94	-0.423
PCDH7	-0.3704	-0.13	-0.2661	-0.2493	-3.333	-0.008014
TBC1D1	0.00899	-0.5131	0.8454	0.1545	-2.891	0.9317
MIR574	-0.1471	0.3404	-0.7452	-0.2877	2.598	-0.7542
KLHL5	0.9488	0.7565	0.5598	0.9435	-0.1611	-0.1874
WDR19	0.2357	-1.064	1.034	0.2695	-0.7123	1.436
NSUN7	-1.975	-1.976	-1.354	-2.339	3.094	0.3683
UCHL1	-1.313	-0.691	-1.443	-1.493	-5.749	-0.3675
LIMCH1	-0.1139	-0.639	0.34	-0.1806	1.313	0.6915
TMEM33	-0.4478	-1.682	1.301	-0.4047	-0.8088	2.149
DCAF4L1	1.016	0.09447	1.364	1.216	-2.568	1.061
SLC30A9	1.272	0.3874	1.408	1.379	-1.629	0.8618
GUF1	1.729	1.166	1.448	1.774	-0.975	-0.3266
OCIAD1	0.1319	0.6896	-0.2472	0.2322	-1.917	-0.6318
DCUN1D4	0.0201	-0.9193	0.4005	-0.105	2.527	0.8069
SNORA26	-0.4435	0.8755	-1.574	-0.4793	0.7739	-1.709
RASL11B	-1.663	-2.224	-0.3114	-1.865	-4.949	1.6
SRD5A3	-0.6169	-0.5075	-0.2263	-0.544	-5.481	0.2794
PAICS	0.183	0.3422	0.122	0.3054	-2.257	-0.1204
SRP72	0.49	0.1963	0.7044	0.6828	-2.931	0.3993
STAP1	0.0861	-0.14	0.06679	0.006418	1.626	0.1161
UTP3	0.1515	0.7932	-0.7678	0.1668	-0.3441	-1.107
RUFY3	0.3745	-0.5419	1.159	0.4192	-0.9192	1.178
SLC4A4	0.5175	1.445	-0.03498	0.4159	5.986	-0.4994
CXCL8	0.4014	0.1555	0.2399	0.2696	4.267	-0.001099
CXCL1	-0.01263	-0.04226	-0.2495	-0.1998	3.699	-0.124
EREG	0.687	0.9688	-0.1125	0.6054	3.38	-0.7934
AREG	0.06035	-0.3272	0.08814	-0.1665	4.845	0.2997
PARM1	0.02274	0.5528	-0.5617	0.1691	-2.882	-0.7776
SEPTIN11	-0.2975	-0.06788	-0.1761	-0.1802	-2.879	-0.0806
MRPL1	-2.131	-1.261	-1.682	-2.124	-2.218	-0.433
ANXA3	0.935	0.028	1.205	0.9229	4.549	0.8368
LINC01094	-0.699	-0.5292	-0.8171	-0.9844	3.634	-0.3402
PRDM8	-0.02101	-0.2381	-0.09691	-0.2021	3.557	0.03975
ENOPH1	0.334	-0.3591	0.8722	0.4189	-1.576	0.872
COPS4	-1.109	-0.9707	-0.5926	-1.051	-2.098	0.1133
MRPS18C	0.4325	0.9723	-0.1408	0.4432	-0.3274	-0.6939
GPAT3	-0.06527	-0.2732	-0.08866	-0.2315	3.176	0.09443
WDFY3-AS2	-0.4472	-0.4903	-0.3641	-0.6186	2.715	0.1786
ARHGAP24	-1.677	-0.9643	-1.502	-1.766	1.402	-0.295
MIR4451	-0.07	-0.3226	0.04412	-0.1925	2.366	0.264
PTPN13	0.2026	-0.374	0.5215	0.1203	1.746	0.6303
NUDT9	-0.1931	0.1833	-0.6826	-0.3015	2.017	-0.5653
SPP1	-0.6409	-1.065	0.09212	-0.5747	-5.427	0.7475
PKD2	0.368	0.2675	0.3215	0.4227	-1.086	0.02295
HERC5	0.3506	-0.464	0.6913	0.3275	0.372	0.8164
FAM13A-AS1	-0.8519	-1.175	-0.5289	-1.246	4.321	0.6059
TIGD2	-1.456	-1.284	-0.7146	-1.464	0.4911	0.647
CCSER1	-0.09708	-0.6905	0.5255	-0.05528	-0.8244	0.853
SMARCAD1	-1.843	-1.357	-1.243	-1.793	-0.7513	-0.2502
METAP1	-0.3273	-1.629	1.34	-0.2508	-1.672	2.121
DAPP1	0.2669	-0.5214	0.7151	0.1883	1.694	0.8724
NFKB1	0.6064	0.9749	-0.4208	0.5143	3.492	-1.057
UBE2D3-AS1	1.453	1.384	0.6005	1.4	1.324	-0.585
CISD2	-0.36	-1.034	0.3116	-0.4627	1.839	0.9488
TET2	0.6266	0.6083	0.08456	0.5417	4.382	-0.461
GSTCD	-0.5878	0.3234	-1.09	-0.5176	-1.651	-0.961
NPNT	0.244	0.3778	-0.1489	0.1118	3.191	-0.3532
SGMS2	-0.05834	0.4419	-0.4411	-0.05532	-0.04343	-0.6197
HADH	-0.7626	-0.7122	-0.3352	-0.7304	-0.466	0.2533
OSTC	-0.7331	-0.2013	-0.7224	-0.665	-1.705	-0.3428
MIR576	1.326	3.417	-0.2707	1.276	0.8636	-1.868
MCUB	0.4152	0.1331	0.6625	0.5886	-2.773	0.375
GAR1	0.684	1.273	-0.2155	0.7246	-0.8715	-1.075
LRIT3	0.6116	0.7408	0.1085	0.5993	0.06906	-0.4674
FAM241A	0.7495	0.7854	0.5931	0.9972	-3.222	-0.3227
AP1AR	0.9831	0.283	1.514	1.247	-3.132	0.7641
ALPK1	-0.7163	-2.148	0.2732	-0.784	1.261	1.312
ANK2	0.06792	0.3423	0.3275	0.4653	-7.219	-0.1632
LOC729218	-0.1393	-0.2705	-0.2021	-0.3338	3.503	0.03827
METTL14	-0.7161	-0.4366	-0.6695	-0.7917	1.367	-0.1203
SYNPO2	0.9626	1.052	0.1016	0.9854	-0.6313	-0.9417
USP53	-0.1957	0.2506	-0.3272	-0.1141	-1.724	-0.4067
EXOSC9	1.209	1.183	0.6859	1.377	-2.196	-0.6867
KIAA1109	-0.1781	0.3082	-0.5044	-0.2121	0.7062	-0.5774
SPATA5	-0.5539	-0.3914	-0.4901	-0.6306	1.405	-0.02656
SPRY1	0.4378	0.4881	0.1572	0.4616	-0.5647	-0.256
LINC01091	0.8004	0.6015	0.6118	0.8548	-1.074	0.1256
FAT4	0.3504	0.4081	0.4766	0.5857	-3.653	-0.1843
HSPA4L	1.199	0.1207	1.297	1.178	3.266	0.998
PLK4	-0.1084	0.5996	-0.9781	0.1207	-5.225	-0.9711
JADE1	-0.4891	-0.4499	-0.253	-0.4726	-0.1924	0.07744
C4orf33	1.327	0.6695	1.193	1.37	4.084	0.4921
MGST2	0.9443	1.321	0.1626	0.9658	-0.6092	-0.7575
SCOC	-0.9268	-0.6233	-0.5801	-0.8615	-2.361	0.05007
ELMOD2	0.03029	0.01197	0.04719	0.04203	-0.2428	0.02222
IL15	0.6354	0.9358	-0.2215	0.5501	2.69	-0.8732
USP38	0.1028	-0.3649	0.5049	0.07918	0.4468	0.6084
MIR3139	-0.5967	-0.8655	-0.006828	-0.5957	0.1487	0.611
HHIP	0.5172	-1.927	1.208	0.4128	3.509	1.803
ABCE1	-1.709	-0.5644	-1.652	-1.686	-2.308	-0.974
SMAD1	1.373	1.021	0.9814	1.435	-1.164	-0.1039
MMAA	-0.02165	-0.4487	0.5454	0.06595	-1.761	0.7004
EDNRA	1.288	1.374	0.3543	1.285	-0.2876	-0.8922
TMEM184C	-1.214	-0.672	-1.016	-1.23	0.5708	-0.4374
ARHGAP10	0.4789	-0.2168	1.729	0.9238	-5.618	1.22
DCLK2	0.5338	1.116	-0.1559	0.5993	-1.244	-0.8672
ARFIP1	1.259	-0.03591	1.667	1.208	0.9285	1.204
TMEM131L	-0.04766	0.3018	-0.5796	-0.2016	2.983	-0.6151
TLR2	-0.5328	-1.246	-0.2981	-1.138	6.887	0.7961
FGB	-2.042	-1.582	-2.169	-2.655	4.197	-0.1018
GUCY1A1	1.077	1.611	-0.2468	1.018	1.487	-1.416
GUCY1B1	1.533	0.9692	1.215	1.554	-0.6815	0.00923
FNIP2	-1.03	-0.9876	-0.4287	-0.9788	-2.863	0.3646
TMA16	1.164	1.342	0.7302	1.356	-2.42	-0.1776
KLHL2	-1.771	-2.444	-1.048	-2.414	4.581	0.9748
MSMO1	-1.201	-1.298	-0.3474	-1.281	-4.986	0.9678
CPE	0.005746	0.1572	-0.2115	-0.05506	1.215	-0.2601
TLL1	0.1117	0.9104	-0.5582	0.1306	-0.4054	-1.011
PALLD	-0.6628	-0.7106	-0.1317	-0.6047	-5.475	0.4435
CLCN3	0.5885	-0.1185	0.7459	0.4953	3.16	0.6208
SAP30	-0.8576	-0.6964	-0.7711	-1.019	2.301	-0.3038
CEP44	-0.86	-0.03199	-1.017	-0.8127	-0.8685	-0.7274
WDR17	0.2691	-0.1648	0.4552	0.1752	2.107	0.4145
SPCS3	-0.5772	-0.7166	-0.08144	-0.5056	-1.697	0.3961
WWC2	1.878	1.536	1.266	1.988	3.759	-0.1441
CDKN2AIP	-1.145	-0.106	-1.351	-1.088	-1.331	-0.8923
ING2	0.1581	-0.2773	0.8222	0.3968	-4.155	0.7631
TRAPPC11	-0.305	-0.7157	0.5106	-0.265	-0.7568	0.8941
SLC25A4	0.3334	0.7423	-0.384	0.1934	3.98	-0.7854
SNX25	-0.8088	0.3992	-2.221	-1.164	4.079	-1.729
ANKRD37	1.252	1.004	1.025	1.417	5.836	-0.3646
C4orf47	1.694	1.676	0.9396	1.773	3.746	-0.3314
TLR3	1.128	1.147	0.4937	1.109	0.05893	-0.3744
F11	-2.022	-1.868	-0.9751	-1.997	0.0828	0.6459
LINC01262	-0.007915	-0.5074	0.2477	-0.1364	2.555	0.5226
FRG1	1.715	1.105	1.268	1.704	-0.2523	0.09273
SLC49A3	-0.4144	-0.4132	-0.0987	-0.3411	-1.634	0.2005
NOP14	-0.8937	-0.505	-0.6502	-0.8318	-2.999	-0.2121
LRPAP1	-0.6355	-0.8346	0.1797	-0.5497	-2.748	0.7971
TMEM128	0.04599	0.7612	-0.1827	0.1871	-2.745	-0.5198
LYAR	-0.5037	0.4387	-1.013	-0.5286	0.596	-1.043
STX18	0.5289	0.1966	0.9947	0.8176	-3.932	0.4752
CYTL1	-1.312	-1.242	-1.138	-1.682	3.595	-0.05583
EVC2	-0.4839	-0.9783	0.5988	-0.4385	-0.8637	1.168
CCDC96	0.07946	0.1692	0.2274	0.2779	-3.718	-0.005115
GRPEL1	-0.3451	-0.6205	0.2376	-0.2819	-1.32	0.6256
MIR95	0.1438	1.251	-1.652	0.1617	-0.3922	-1.955
WDR1	-1.437	-1.288	-0.8659	-1.425	-2.939	-0.004002
ZNF518B	-2.02	-1.684	-2.775	-3.14	6.153	-0.4328
CLNK	0.4836	-0.1377	0.651	0.4316	1.037	0.5765
RAB28	-0.04663	1.101	-0.9151	-0.00571	-0.812	-1.407
BOD1L1	0.8046	1.064	0.1962	0.7851	5.263	-0.4976
LINC00504	-0.3309	-0.2423	-0.1556	-0.2847	-0.8981	0.07299
TAPT1	-0.3604	-0.7523	-0.06692	-0.495	2.302	0.4054
LDB2	0.4984	0.7183	0.2437	0.697	-2.99	-0.3886
PPARGC1A	-0.1886	0.3493	-0.6721	-0.09763	-1.949	-0.6672
LGI2	-0.197	-0.4145	-0.08977	-0.361	2.912	0.2476
SEPSECS	0.5867	0.5112	0.4208	0.6714	-1.511	-0.1574
SEL1L3	-0.8259	-1.139	0.04877	-0.7551	-2.29	0.8618
RELL1	-0.6853	-0.4766	-0.4374	-0.6446	-0.7041	-0.03
TLR10	-0.02445	-0.7517	0.06799	-0.2619	4.626	0.3952
TMEM156	-0.8252	-0.2514	-0.9935	-1.001	2.462	-0.7093
RFC1	-0.1882	-1.049	0.2872	-0.2005	0.2958	0.7262
UGDH	-0.9304	-1.504	0.2174	-0.999	-6.202	1.343
RBM47	-0.9683	-1.621	-0.197	-1.246	3.259	1.022
MIR4802	0.1632	-0.8647	0.7971	0.103	1.219	1.155
APBB2	-0.3299	0.4885	-0.6866	-0.2103	-3.078	-0.8301
ATP8A1	0.5828	0.5719	0.2511	0.5407	0.7624	-0.1495
GNPDA2	-0.5118	0.9926	-1.344	-0.4071	-3.45	-1.65
GABRA2	0.7964	1.321	-0.01871	1.182	-4.341	-1.269
COMMD8	-0.09603	-0.6221	0.8306	-0.02305	-1.486	0.9925
NFXL1	0.3477	-0.1605	0.4342	0.3109	0.6777	0.4432
CNGA1	1.094	0.8678	0.7158	1.074	0.08474	0.1111
TXK	0.5285	0.6565	0.1227	0.4641	1.409	-0.2756
OCIAD2	0.9985	1.466	0.08449	1.033	-0.8003	-0.9576
SGCB	-0.06629	-0.1982	0.233	0.03677	-2.116	0.3042
USP46	-1.336	-1.835	-0.1679	-1.329	0.2403	1.151
SCFD2	-0.7881	-0.1538	-0.8007	-0.7228	-1.614	-0.4842
LNX1	0.534	0.9619	-0.2469	0.5002	0.5655	-0.8768
RPL21P44	0.375	0.9204	-0.2669	0.3067	1.469	-0.7595
CHIC2	0.1362	-0.3986	0.4347	0.06529	1.453	0.5869
KDR	0.1132	0.7138	-0.8654	0.09503	0.3339	-1.087
CLOCK	-0.718	0.8298	-1.735	-0.6606	-1.223	-1.796
NMU	-1.4	-0.3811	-1.654	-1.67	2.88	-1.431
AASDH	-1.123	-1.16	-0.3252	-1.064	-1.607	0.6547
NOA1	0.374	-0.08898	0.6492	0.4441	-1.335	0.5328
IGFBP7	1.12	1.365	0.5057	1.398	-3.127	-0.8479
LOC101927237	0.4057	0.1019	0.3318	0.3043	2.613	0.1358
UBA6	-0.1641	-0.9099	0.3617	-0.1621	0.00799	0.7887
GNRHR	-1.814	-1.138	-1.478	-1.876	1.145	-0.1564
YTHDC1	0.02333	0.08388	-0.2605	-0.1529	3.587	-0.2484
SULT1B1	0.6942	-0.0498	0.7889	0.6192	4.059	0.6418
JCHAIN	-1.063	-1.988	-0.2421	-1.256	2.481	0.906
GRSF1	-1.215	-1.624	-0.2219	-1.159	-1.415	0.8596
ADAMTS3	-0.1983	-0.5055	0.1486	-0.1998	0.08652	0.4408
CXCL5	-0.07356	0.2665	-0.5307	-0.2015	2.463	-0.5585
CXCL3	0.6708	0.9833	-0.1255	0.6001	4.699	-0.8079
RCHY1	1.187	0.6886	0.9217	1.155	3.037	0.116
CDKL2	-0.2516	-0.08938	-0.386	-0.3895	2.443	-0.2857
CXCL9	1.074	-1.041	1.929	1.119	5	2.133
CXCL10	1.777	0.007256	2.328	1.934	4.338	1.895
CXCL11	0.7821	-1.085	1.565	0.733	4.481	1.865
NUP54	0.4489	0.2352	0.3186	0.4011	0.9279	0.08702
SCARB2	-0.7289	-1.134	0.5173	-0.6741	-4.769	1.271
CNOT6L	-0.9246	-1.649	0.03333	-0.9026	-0.1814	1.004
PAQR3	0.3132	-0.6597	1.284	0.3834	-1.343	1.339
ANTXR2	0.005279	0.286	-0.3873	-0.01501	0.404	-0.4645
TMEM150C	-0.08995	0.2548	-0.3019	0.01223	-2.119	-0.3886
LIN54	0.3548	-0.2487	1.081	0.3713	-0.4156	0.7723
PLAC8	0.2745	0.5132	-0.3842	0.1855	1.976	-0.6517
COQ2	-0.7054	-1.722	0.06749	-1.068	4.309	1.233
HPSE	0.1355	-0.2976	0.2337	-0.04211	4.043	0.3778
ABRAXAS1	-0.7583	-0.4206	-0.5429	-0.6908	-1.701	-0.2093
MAPK10	-0.346	-0.1939	-0.31	-0.3633	0.43	-0.07398
SLC10A6	-1.207	-0.927	-0.6974	-1.174	-0.3387	0.3507
KLHL8	-0.7451	-1.221	-0.1764	-0.967	2.981	0.7525
SPARCL1	0.6466	0.898	0.09589	0.742	-1.639	-0.6467
ABCG2	-0.8626	-0.5405	-0.825	-0.8821	-5.753	0.1246
PPM1K	-0.1264	0.2942	-0.4685	-0.1927	1.303	-0.5414
NAP1L5	0.8428	0.3623	0.7049	0.783	3.496	0.2706
SNCA	-0.3866	-0.1817	-0.3721	-0.3526	-0.606	-0.01827
HPGDS	-0.2422	0.1868	-0.5214	-0.1885	-1.075	-0.4668
UNC5C	0.06434	0.09857	-6.726e-05	0.08074	-0.3442	-0.08384
TSPAN5	-0.5242	-0.008625	-1.043	-0.7803	3.597	-0.7256
EIF4E	-0.7196	-0.1477	-0.7683	-0.7067	-0.05079	-0.4852
ADH5	0.6931	0.5204	0.6956	0.8791	-2.665	0.1624
ADH1A	2.299	1.955	1.292	2.297	-0.4923	-0.4838
ADH1B	0.6178	0.5898	0.2346	0.6041	0.09709	-0.3147
LAMTOR3	0.2091	-0.01656	0.1849	0.1298	1.678	0.1436
DDIT4L	-1.542	-0.9641	-1.129	-1.492	-1.644	-0.3224
MIR8066	-0.6196	0.06657	-0.8607	-0.5942	-0.3485	-0.6507
CENPE	-1.148	-1.387	0.01951	-1.09	-1.831	1.176
CXXC4	0.1635	0.1355	0.2189	0.2564	-1.769	0.05706
INTS12	1.412	0.5685	1.673	1.61	-2.358	0.7333
DKK2	-0.1945	-0.01896	0.002255	-0.01544	-4.427	0.01831
PAPSS1	-0.7895	-1.698	0.638	-0.7188	-3.19	1.685
CASP6	-0.6797	-0.9246	-0.1233	-0.6158	-1.459	0.434
CFI	0.6444	0.6658	0.1602	0.5576	3.094	-0.3338
TIFA	-1.332	-1.25	-0.6695	-1.306	-0.1411	0.2906
CAMK2D	-0.2833	-2.122	1.615	-0.1353	-3.943	2.615
ARSJ	-0.5009	-1.603	1.11	-0.4505	-0.9909	1.964
